旺角监狱　　　　　　　　　	real: 6.3　　	predict: 6.49 	accuracy: 98.53%
猪扒大联盟　　　　　　　　	real: 6.1　　	predict: 5.92 	accuracy: 98.49%
一妻两夫　　　　　　　　　	real: 6.4　　	predict: 6.21 	accuracy: 98.49%
唐伯虎点秋香　　　　　　　	real: 8.6　　	predict: 8.87 	accuracy: 98.46%
发光石头　　　　　　　　　	real: 7.0　　	predict: 6.79 	accuracy: 98.45%
妖怪都市　　　　　　　　　	real: 6.2　　	predict: 6.01 	accuracy: 98.41%
死神傻了　　　　　　　　　	real: 5.9　　	predict: 5.71 	accuracy: 98.39%
四眼仔　　　　　　　　　　	real: 6.6　　	predict: 6.82 	accuracy: 98.38%
异乡梦　　　　　　　　　　	real: 6.9　　	predict: 6.68 	accuracy: 98.38%
夜半无人尸语时　　　　　　	real: 5.9　　	predict: 5.7  	accuracy: 98.31%
我爱罗兰度　　　　　　　　	real: 6.8　　	predict: 6.57 	accuracy: 98.31%
关于爱情的7件事　　　　　	real: 6.4　　	predict: 6.62 	accuracy: 98.28%
黑白道　　　　　　　　　　	real: 6.8　　	predict: 7.04 	accuracy: 98.23%
星际钝胎　　　　　　　　　	real: 5.4　　	predict: 5.6  	accuracy: 98.21%
再见七日情　　　　　　　　	real: 6.3　　	predict: 6.07 	accuracy: 98.18%
鬼媾人　　　　　　　　　　	real: 5.8　　	predict: 5.59 	accuracy: 98.17%
风儿踢踏踩　　　　　　　　	real: 6.3　　	predict: 6.54 	accuracy: 98.15%
1/2次同床　　　　　　　	real: 5.8　　	predict: 5.59 	accuracy: 98.14%
花心大少　　　　　　　　　	real: 6.4　　	predict: 6.64 	accuracy: 98.13%
摩登神探　　　　　　　　　	real: 6.1　　	predict: 5.87 	accuracy: 98.12%
青蛇　　　　　　　　　　　	real: 8.5　　	predict: 8.83 	accuracy: 98.1%
棋王　　　　　　　　　　　	real: 7.8　　	predict: 7.51 	accuracy: 98.08%
我爱唐人街　　　　　　　　	real: 6.0　　	predict: 5.77 	accuracy: 98.06%
赌侠1999　　　　　　　	real: 6.6　　	predict: 6.35 	accuracy: 98.06%
青苔　　　　　　　　　　　	real: 6.5　　	predict: 6.76 	accuracy: 98.03%
海滩的一天　　　　　　　　	real: 8.3　　	predict: 7.98 	accuracy: 98.03%
家有喜事2009　　　　　	real: 5.4　　	predict: 5.62 	accuracy: 98.02%
生死恋　　　　　　　　　　	real: 6.9　　	predict: 6.62 	accuracy: 97.96%
游　　　　　　　　　　　　	real: 4.7　　	predict: 4.51 	accuracy: 97.95%
朱门怨　　　　　　　　　　	real: 6.6　　	predict: 6.33 	accuracy: 97.94%
喜气逼人　　　　　　　　　	real: 5.5　　	predict: 5.73 	accuracy: 97.92%
新啼笑因缘　　　　　　　　	real: 6.1　　	predict: 6.36 	accuracy: 97.91%
阿呆　　　　　　　　　　　	real: 7.3　　	predict: 7.0  	accuracy: 97.88%
永失我爱　　　　　　　　　	real: 7.0　　	predict: 6.7  	accuracy: 97.84%
富贵再逼人　　　　　　　　	real: 7.3　　	predict: 6.99 	accuracy: 97.84%
一半海水一半火焰　　　　　	real: 6.6　　	predict: 6.89 	accuracy: 97.83%
神探朱古力　　　　　　　　	real: 6.6　　	predict: 6.32 	accuracy: 97.81%
最佳男朋友　　　　　　　　	real: 6.2　　	predict: 5.93 	accuracy: 97.81%
我要活下去　　　　　　　　	real: 7.7　　	predict: 7.37 	accuracy: 97.81%
出埃及记　　　　　　　　　	real: 7.1　　	predict: 6.79 	accuracy: 97.8%
拥抱朝阳　　　　　　　　　	real: 6.6　　	predict: 6.9  	accuracy: 97.79%
贼王之王　　　　　　　　　	real: 5.9　　	predict: 5.64 	accuracy: 97.76%
台北异想　　　　　　　　　	real: 7.1　　	predict: 6.79 	accuracy: 97.76%
真心话　　　　　　　　　　	real: 7.3　　	predict: 6.98 	accuracy: 97.74%
快乐天使　　　　　　　　　	real: 6.2　　	predict: 5.92 	accuracy: 97.71%
等着你回来　　　　　　　　	real: 6.7　　	predict: 6.4  	accuracy: 97.69%
喂，搵边位？　　　　　　　	real: 6.2　　	predict: 5.92 	accuracy: 97.67%
天师斗僵尸　　　　　　　　	real: 5.3　　	predict: 5.06 	accuracy: 97.65%
靓妹仔　　　　　　　　　　	real: 6.9　　	predict: 6.58 	accuracy: 97.62%
性工作者2：我不卖身，我卖子宫	real: 6.9　　	predict: 6.58 	accuracy: 97.6%
港督最后一个保镖　　　　　	real: 7.0　　	predict: 6.67 	accuracy: 97.56%
鬼马智多星　　　　　　　　	real: 6.8　　	predict: 6.48 	accuracy: 97.56%
古惑仔激情篇之洪兴大飞哥　	real: 6.3　　	predict: 6.62 	accuracy: 97.5%
空中小姐　　　　　　　　　	real: 6.2　　	predict: 5.89 	accuracy: 97.43%
摩登如来神掌　　　　　　　	real: 6.4　　	predict: 6.08 	accuracy: 97.42%
正牌韦小宝之奉旨沟女　　　	real: 6.2　　	predict: 5.89 	accuracy: 97.4%
愿望树　　　　　　　　　　	real: 6.9　　	predict: 6.55 	accuracy: 97.39%
阿龙的故事　　　　　　　　	real: 6.5　　	predict: 6.85 	accuracy: 97.34%
香港沦陷　　　　　　　　　	real: 6.4　　	predict: 6.07 	accuracy: 97.32%
痴心的我　　　　　　　　　	real: 7.4　　	predict: 7.01 	accuracy: 97.31%
