大闹西游　　　　　　　　　　　　　　	real: 0.9%　　　　　	predict: 1.45%　　　　	accuracy: 76.44%
天气预爆　　　　　　　　　　　　　　	real: 2.93%　　　　	predict: 1.81%　　　　	accuracy: 76.42%
新大头儿子和小头爸爸3：俄罗斯奇遇记	real: 1.24%　　　　	predict: 2.02%　　　　	accuracy: 76.22%
未来机器城　　　　　　　　　　　　　	real: 0.44%　　　　	predict: 0.71%　　　　	accuracy: 75.9%
熊出没·原始时代　　　　　　　　　　	real: 4.31%　　　　	predict: 2.62%　　　　	accuracy: 75.58%
西北风云　　　　　　　　　　　　　　	real: 0.34%　　　　	predict: 0.56%　　　　	accuracy: 75.49%
闺蜜2　　　　　　　　　　　　　　　	real: 0.32%　　　　	predict: 0.53%　　　　	accuracy: 75.32%
鼠胆英雄　　　　　　　　　　　　　　	real: 1.14%　　　　	predict: 1.89%　　　　	accuracy: 75.25%
银河补习班　　　　　　　　　　　　　	real: 6.03%　　　　	predict: 3.61%　　　　	accuracy: 74.83%
坏爸爸　　　　　　　　　　　　　　　	real: 0.44%　　　　	predict: 0.75%　　　　	accuracy: 73.98%
罗小黑战记　　　　　　　　　　　　　	real: 3.57%　　　　	predict: 2.06%　　　　	accuracy: 73.26%
在乎你　　　　　　　　　　　　　　　	real: 0.45%　　　　	predict: 0.78%　　　　	accuracy: 73.26%
我的宠物是大象　　　　　　　　　　　	real: 0.32%　　　　	predict: 0.57%　　　　	accuracy: 72.58%
谜巢　　　　　　　　　　　　　　　　	real: 1.82%　　　　	predict: 1.02%　　　　	accuracy: 72.16%
新灰姑娘　　　　　　　　　　　　　　	real: 1.13%　　　　	predict: 2.02%　　　　	accuracy: 72.02%
遇见你真好　　　　　　　　　　　　　	real: 2.2%　　　　　	predict: 1.24%　　　　	accuracy: 71.95%
新乌龙院之笑闹江湖　　　　　　　　　	real: 2.83%　　　　	predict: 1.58%　　　　	accuracy: 71.66%
廉政风云　　　　　　　　　　　　　　	real: 0.83%　　　　	predict: 1.5%　　　　　	accuracy: 71.52%
狗十三　　　　　　　　　　　　　　　	real: 0.97%　　　　	predict: 1.77%　　　　	accuracy: 70.89%
神探蒲松龄　　　　　　　　　　　　　	real: 1.31%　　　　	predict: 0.72%　　　　	accuracy: 70.8%
小小的愿望　　　　　　　　　　　　　	real: 3.22%　　　　	predict: 1.76%　　　　	accuracy: 70.7%
某日某月　　　　　　　　　　　　　　	real: 0.06%　　　　	predict: 0.03%　　　　	accuracy: 70.67%
快把我哥带走　　　　　　　　　　　　	real: 5.06%　　　　	predict: 2.76%　　　　	accuracy: 70.55%
大师兄　　　　　　　　　　　　　　　	real: 3.73%　　　　	predict: 2.01%　　　　	accuracy: 70.04%
战神纪　　　　　　　　　　　　　　　	real: 1.22%　　　　	predict: 0.66%　　　　	accuracy: 70.01%
垫底联盟　　　　　　　　　　　　　　	real: 1.2%　　　　　	predict: 0.64%　　　　	accuracy: 69.96%
武林怪兽　　　　　　　　　　　　　　	real: 2.38%　　　　	predict: 1.28%　　　　	accuracy: 69.87%
龙牌之谜　　　　　　　　　　　　　　	real: 0.57%　　　　	predict: 1.06%　　　　	accuracy: 69.58%
丑娃娃　　　　　　　　　　　　　　　	real: 0.15%　　　　	predict: 0.28%　　　　	accuracy: 69.17%
云南虫谷　　　　　　　　　　　　　　	real: 3.61%　　　　	predict: 1.89%　　　　	accuracy: 68.8%
雪暴　　　　　　　　　　　　　　　　	real: 0.67%　　　　	predict: 1.29%　　　　	accuracy: 68.56%
暗夜良人　　　　　　　　　　　　　　	real: 0.32%　　　　	predict: 0.61%　　　　	accuracy: 68.55%
欲念游戏　　　　　　　　　　　　　　	real: 1.02%　　　　	predict: 0.53%　　　　	accuracy: 68.47%
二十岁　　　　　　　　　　　　　　　	real: 0.31%　　　　	predict: 0.6%　　　　　	accuracy: 68.18%
克隆人　　　　　　　　　　　　　　　	real: 0.38%　　　　	predict: 0.73%　　　　	accuracy: 67.89%
奇迹男孩　　　　　　　　　　　　　　	real: 2.57%　　　　	predict: 1.31%　　　　	accuracy: 67.36%
毕业的我们　　　　　　　　　　　　　	real: 0.32%　　　　	predict: 0.63%　　　　	accuracy: 67.26%
神秘世界历险记4　　　　　　　　　　	real: 1.1%　　　　　	predict: 2.18%　　　　	accuracy: 67.03%
我来自纽约　　　　　　　　　　　　　	real: 0.06%　　　　	predict: 0.11%　　　　	accuracy: 67.02%
给19岁的我自己　　　　　　　　　　	real: 0.31%　　　　	predict: 0.63%　　　　	accuracy: 65.57%
金龟子　　　　　　　　　　　　　　　	real: 1.5%　　　　　	predict: 0.72%　　　　	accuracy: 64.56%
中邪　　　　　　　　　　　　　　　　	real: 0.08%　　　　	predict: 0.04%　　　　	accuracy: 64.52%
引爆者　　　　　　　　　　　　　　　	real: 2.65%　　　　	predict: 1.25%　　　　	accuracy: 64.19%
求求你爱上我　　　　　　　　　　　　	real: 0.02%　　　　	predict: 0.05%　　　　	accuracy: 63.92%
雪人奇缘　　　　　　　　　　　　　　	real: 1.58%　　　　	predict: 0.74%　　　　	accuracy: 63.8%
毕业作品　　　　　　　　　　　　　　	real: 0.29%　　　　	predict: 0.63%　　　　	accuracy: 63.74%
小悟空　　　　　　　　　　　　　　　	real: 0.26%　　　　	predict: 0.56%　　　　	accuracy: 63.63%
老兽　　　　　　　　　　　　　　　　	real: 0.23%　　　　	predict: 0.52%　　　　	accuracy: 62.08%
我的青春都是你　　　　　　　　　　　	real: 0.45%　　　　	predict: 1.0%　　　　　	accuracy: 61.79%
阿凡提之奇缘历险　　　　　　　　　　	real: 1.21%　　　　	predict: 2.71%　　　　	accuracy: 61.73%
幸福马上来　　　　　　　　　　　　　	real: 0.96%　　　　	predict: 2.17%　　　　	accuracy: 61.37%
战斗民族养成记　　　　　　　　　　　	real: 0.43%　　　　	predict: 0.97%　　　　	accuracy: 61.28%
上海堡垒　　　　　　　　　　　　　　	real: 2.4%　　　　　	predict: 1.05%　　　　	accuracy: 60.91%
